Retriever,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Average
Ensemble,0.949698395919326,0.9679530383887543,0.7657728646798764,0.9603174603174603,0.9109354398263543
Cohere Rerank,0.9044394866331443,0.9656516317453839,0.9166666666277776,0.8392857142857143,0.9065108748230051
Bm25,0.8600973824077539,0.9644566875946076,0.8354166666331423,0.9325396825396824,0.8981276047937965
Naive,0.9257811399329956,0.8888729193928951,0.6831018518251987,0.777281746031746,0.8187594142957089
